date,hour,forecast_need,real_need,someval,date,temp
20190701,1,15000,15351,250,2019-07-01T01:00:00.000Z,23.98
20190701,2,14500,14731,738,2019-07-01T02:00:00.000Z,23.44
20190701,3,14400,14573,575,2019-07-01T03:00:00.000Z,22.69
20190701,4,14300,14503,738,2019-07-01T04:00:00.000Z,21.21
20190701,5,14200,14413,338,2019-07-01T05:00:00.000Z,21.37
20190701,6,15600,14991,263,2019-07-01T06:00:00.000Z,22.48
20190701,7,19000,17816,288,2019-07-01T07:00:00.000Z,23.82
20190701,8,20700,20135,813,2019-07-01T08:00:00.000Z,25.14
20190701,9,21600,21542,963,2019-07-01T09:00:00.000Z,26.38
20190701,10,21900,22256,550,2019-07-01T10:00:00.000Z,27.23
20190701,11,22400,22471,425,2019-07-01T11:00:00.000Z,25.68
20190701,12,22400,22930,475,2019-07-01T12:00:00.000Z,23.03
20190701,13,22700,23079,163,2019-07-01T13:00:00.000Z,23.35
20190701,14,22700,23000,263,2019-07-01T14:00:00.000Z,25.72
20190701,15,22300,22527,138,2019-07-01T15:00:00.000Z,28.31
20190701,16,22200,22353,325,2019-07-01T16:00:00.000Z,28.53
20190701,17,22100,22068,838,2019-07-01T17:00:00.000Z,27.84
20190701,18,21800,21596,275,2019-07-01T18:00:00.000Z,26.27
20190701,19,21600,21374,38,2019-07-01T19:00:00.000Z,24.96
20190701,20,21600,21261,75,2019-07-01T20:00:00.000Z,22.37
20190701,21,21500,21222,113,2019-07-01T21:00:00.000Z,20.54
20190701,22,21400,20799,213,2019-07-01T22:00:00.000Z,20.07
20190701,23,20200,19666,713,2019-07-01T23:00:00.000Z,18.88
20190701,24,18400,18069,800,2019-07-02T00:00:00.000Z,18.8
20190702,1,16200,17065,288,2019-07-02T01:00:00.000Z,18.09
20190702,2,15600,16571,188,2019-07-02T02:00:00.000Z,16.77
20190702,3,15200,16154,25,2019-07-02T03:00:00.000Z,15.47
20190702,4,15100,16182,600,2019-07-02T04:00:00.000Z,14.97
20190702,5,14700,15732,288,2019-07-02T05:00:00.000Z,16.36
20190702,6,15700,15923,975,2019-07-02T06:00:00.000Z,17.96
20190702,7,19000,18111,250,2019-07-02T07:00:00.000Z,19.21
20190702,8,20400,20087,925,2019-07-02T08:00:00.000Z,20
20190702,9,21200,21223,788,2019-07-02T09:00:00.000Z,20.69
20190702,10,21400,21500,25,2019-07-02T10:00:00.000Z,21.48
20190702,11,21800,21651,575,2019-07-02T11:00:00.000Z,22.34
20190702,12,21900,21980,650,2019-07-02T12:00:00.000Z,21.94
20190702,13,22000,22064,500,2019-07-02T13:00:00.000Z,22.29
20190702,14,22100,21997,538,2019-07-02T14:00:00.000Z,22.66
20190702,15,21600,21536,213,2019-07-02T15:00:00.000Z,22.81
20190702,16,21400,21389,638,2019-07-02T16:00:00.000Z,22.62
20190702,17,21200,21023,913,2019-07-02T17:00:00.000Z,22.38
20190702,18,20800,20714,63,2019-07-02T18:00:00.000Z,21.89
20190702,19,20700,20435,225,2019-07-02T19:00:00.000Z,20.7
20190702,20,20800,20464,463,2019-07-02T20:00:00.000Z,18.49
20190702,21,20500,20376,800,2019-07-02T21:00:00.000Z,16.46
20190702,22,20600,20159,700,2019-07-02T22:00:00.000Z,15.01
20190702,23,19700,19279,450,2019-07-02T23:00:00.000Z,14.38
20190702,24,18100,17993,500,2019-07-03T00:00:00.000Z,13.27
20190703,1,16900,16706,613,2019-07-03T01:00:00.000Z,12.28
20190703,2,16300,15981,625,2019-07-03T02:00:00.000Z,11.42
20190703,3,15900,15665,588,2019-07-03T03:00:00.000Z,10.82
20190703,4,15800,15583,913,2019-07-03T04:00:00.000Z,10.37
20190703,5,15300,15194,563,2019-07-03T05:00:00.000Z,11.69
20190703,6,16200,15577,150,2019-07-03T06:00:00.000Z,13.69
20190703,7,19000,17814,0,2019-07-03T07:00:00.000Z,15.06
20190703,8,20500,19609,238,2019-07-03T08:00:00.000Z,15.92
20190703,9,21300,20479,275,2019-07-03T09:00:00.000Z,16.44
20190703,10,21600,20906,250,2019-07-03T10:00:00.000Z,17.26
20190703,11,21800,20999,238,2019-07-03T11:00:00.000Z,18.65
20190703,12,22000,21286,588,2019-07-03T12:00:00.000Z,18.96
20190703,13,22100,21378,0,2019-07-03T13:00:00.000Z,19.04
20190703,14,22100,21328,50,2019-07-03T14:00:00.000Z,18.76
20190703,15,21600,20893,513,2019-07-03T15:00:00.000Z,18.14
20190703,16,21500,20828,238,2019-07-03T16:00:00.000Z,18.57
20190703,17,21200,20554,125,2019-07-03T17:00:00.000Z,18.58
20190703,18,20800,20251,650,2019-07-03T18:00:00.000Z,18.3
20190703,19,20700,20032,413,2019-07-03T19:00:00.000Z,17.56
20190703,20,20600,20267,438,2019-07-03T20:00:00.000Z,16.2
20190703,21,20500,20260,138,2019-07-03T21:00:00.000Z,14.42
20190703,22,20500,20018,625,2019-07-03T22:00:00.000Z,13.38
20190703,23,19600,19105,700,2019-07-03T23:00:00.000Z,11.67
20190703,24,18200,17740,50,2019-07-04T00:00:00.000Z,10.54
20190704,1,16800,16475,513,2019-07-04T01:00:00.000Z,9.77
20190704,2,16100,15912,913,2019-07-04T02:00:00.000Z,8.94
20190704,3,15800,15644,425,2019-07-04T03:00:00.000Z,8.33
20190704,4,15800,15541,263,2019-07-04T04:00:00.000Z,8.32
20190704,5,15300,15048,88,2019-07-04T05:00:00.000Z,10.2
20190704,6,16300,15365,838,2019-07-04T06:00:00.000Z,13.12
20190704,7,19100,17650,575,2019-07-04T07:00:00.000Z,15.06
20190704,8,20600,19556,563,2019-07-04T08:00:00.000Z,16.4
20190704,9,21300,20478,350,2019-07-04T09:00:00.000Z,17.49
20190704,10,21600,20859,438,2019-07-04T10:00:00.000Z,18.24
20190704,11,21800,20941,963,2019-07-04T11:00:00.000Z,18.8
20190704,12,22100,21294,350,2019-07-04T12:00:00.000Z,19.2
20190704,13,22200,21310,550,2019-07-04T13:00:00.000Z,19.8
20190704,14,22200,21215,413,2019-07-04T14:00:00.000Z,20.68
20190704,15,21800,20976,700,2019-07-04T15:00:00.000Z,21.32
20190704,16,21600,20792,450,2019-07-04T16:00:00.000Z,21.69
20190704,17,21300,20508,788,2019-07-04T17:00:00.000Z,21.58
20190704,18,20900,20371,875,2019-07-04T18:00:00.000Z,21.25
20190704,19,20700,20212,50,2019-07-04T19:00:00.000Z,20.11
20190704,20,20700,20431,813,2019-07-04T20:00:00.000Z,17.12
20190704,21,20600,20392,463,2019-07-04T21:00:00.000Z,15.23
20190704,22,20400,20220,938,2019-07-04T22:00:00.000Z,13.47
20190704,23,19600,19164,888,2019-07-04T23:00:00.000Z,12.81
20190704,24,18200,17806,175,2019-07-05T00:00:00.000Z,12.34
20190705,1,16900,16621,538,2019-07-05T01:00:00.000Z,12.87
20190705,2,16300,15998,0,2019-07-05T02:00:00.000Z,13.16
20190705,3,15900,15637,463,2019-07-05T03:00:00.000Z,13.54
20190705,4,15800,15614,875,2019-07-05T04:00:00.000Z,13.64
20190705,5,15400,15417,813,2019-07-05T05:00:00.000Z,13.82
20190705,6,16300,15673,25,2019-07-05T06:00:00.000Z,15.18
20190705,7,18900,17824,300,2019-07-05T07:00:00.000Z,17.15
20190705,8,20400,19644,225,2019-07-05T08:00:00.000Z,18.18
20190705,9,21200,20596,713,2019-07-05T09:00:00.000Z,18.19
20190705,10,21500,21105,113,2019-07-05T10:00:00.000Z,17.67
20190705,11,21800,21147,113,2019-07-05T11:00:00.000Z,16.43
20190705,12,22000,21514,50,2019-07-05T12:00:00.000Z,16.03
20190705,13,22100,21517,300,2019-07-05T13:00:00.000Z,16.13
20190705,14,22100,21420,200,2019-07-05T14:00:00.000Z,16.26
20190705,15,21700,21012,150,2019-07-05T15:00:00.000Z,17.72
