date,isodate,year,month,day,hour,weekday,yearday,forecast_need,temp,real,l1,l2,l3,l26,l25,l24,l23,l22,t3,t5
20190701,2019-07-01,2019,7,1,1,2,182,15000,23.98,15351,15351,15351,15351,15351,15351,15351,15351,15351,23.37,22.538
20190701,2019-07-01,2019,7,1,2,2,182,14500,23.44,14731,15351,15351,15351,15351,15351,15351,15351,15351,23.37,22.538
20190701,2019-07-01,2019,7,1,3,2,182,14400,22.69,14573,14731,15351,15351,15351,15351,15351,15351,15351,23.37,22.538
20190701,2019-07-01,2019,7,1,4,2,182,14300,21.21,14503,14573,14731,15351,15351,15351,15351,15351,15351,23.37,22.538
20190701,2019-07-01,2019,7,1,5,2,182,14200,21.37,14413,14503,14573,14731,15351,15351,15351,15351,15351,22.44666667,22.538
20190701,2019-07-01,2019,7,1,6,2,182,15600,22.48,14991,14413,14503,14573,15351,15351,15351,15351,15351,21.75666667,22.538
20190701,2019-07-01,2019,7,1,7,2,182,19000,23.82,17816,14991,14413,14503,15351,15351,15351,15351,15351,21.68666667,22.538
20190701,2019-07-01,2019,7,1,8,2,182,20700,25.14,20135,17816,14991,14413,15351,15351,15351,15351,15351,22.55666667,22.538
20190701,2019-07-01,2019,7,1,9,2,182,21600,26.38,21542,20135,17816,14991,15351,15351,15351,15351,15351,23.81333333,22.538
20190701,2019-07-01,2019,7,1,10,2,182,21900,27.23,22256,21542,20135,17816,15351,15351,15351,15351,15351,25.11333333,22.538
20190701,2019-07-01,2019,7,1,11,2,182,22400,25.68,22471,22256,21542,20135,15351,15351,15351,15351,15351,26.25,22.538
20190701,2019-07-01,2019,7,1,12,2,182,22400,23.03,22930,22930,22471,22256,21542,15351,15351,15351,15351,26.43,22.538
20190701,2019-07-01,2019,7,1,13,2,182,22700,23.35,23079,22930,22471,22256,15351,15351,15351,15351,15351,25.31333333,22.538
20190701,2019-07-01,2019,7,1,14,2,182,22700,25.72,23000,23079,22930,22471,15351,15351,15351,15351,15351,24.02,22.538
20190701,2019-07-01,2019,7,1,15,2,182,22300,28.31,22527,23000,23079,22930,15351,15351,15351,15351,15351,24.03333333,22.538
20190701,2019-07-01,2019,7,1,16,2,182,22200,28.53,22353,22527,23000,23079,15351,15351,15351,15351,15351,25.79333333,22.538
20190701,2019-07-01,2019,7,1,17,2,182,22100,27.84,22068,22353,22527,23000,15351,15351,15351,15351,15351,27.52,22.538
20190701,2019-07-01,2019,7,1,18,2,182,21800,26.27,21596,22068,22353,22527,15351,15351,15351,15351,15351,28.22666667,22.538
20190701,2019-07-01,2019,7,1,19,2,182,21600,24.96,21374,21596,22068,22353,15351,15351,15351,15351,15351,27.54666667,22.538
20190701,2019-07-01,2019,7,1,20,2,182,21600,22.37,21261,21374,21596,22068,15351,15351,15351,15351,15351,26.35666667,22.538
20190701,2019-07-01,2019,7,1,21,2,182,21500,20.54,21222,21261,21374,21596,15351,15351,15351,15351,15351,24.53333333,22.538
20190701,2019-07-01,2019,7,1,22,2,182,21400,20.07,20799,21222,21261,21374,15351,15351,15351,15351,15351,22.62333333,22.538
20190701,2019-07-01,2019,7,1,23,2,182,20200,18.88,19666,20799,21222,21261,15351,15351,15351,15351,15351,20.99333333,22.538
20190701,2019-07-01,2019,7,1,24,2,182,18400,18.8,18069,19666,20799,21222,15351,15351,15351,15351,14731,19.83,22.538
20190702,2019-07-02,2019,7,2,1,3,183,16200,18.09,17065,18069,19666,20799,15351,15351,15351,14731,14573,19.25,22.538
20190702,2019-07-02,2019,7,2,2,3,183,15600,16.77,16571,17065,18069,19666,15351,15351,14731,14573,14503,18.59,22.538
20190702,2019-07-02,2019,7,2,3,3,183,15200,15.47,16154,16571,17065,18069,15351,14731,14573,14503,14413,17.88666667,22.238
20190702,2019-07-02,2019,7,2,4,3,183,15100,14.97,16182,16154,16571,17065,14731,14573,14503,14413,14991,16.77666667,22.314
20190702,2019-07-02,2019,7,2,5,3,183,14700,16.36,15732,16182,16154,16571,14573,14503,14413,14991,17816,15.73666667,22.804
20190702,2019-07-02,2019,7,2,6,3,183,15700,17.96,15923,15732,16182,16154,14503,14413,14991,17816,20135,15.6,23.838
20190702,2019-07-02,2019,7,2,7,3,183,19000,19.21,18111,15923,15732,16182,14413,14991,17816,20135,21542,16.43,25.01
20190702,2019-07-02,2019,7,2,8,3,183,20400,20,20087,18111,15923,15732,14991,17816,20135,21542,22256,17.84333333,25.65
20190702,2019-07-02,2019,7,2,9,3,183,21200,20.69,21223,20087,18111,15923,17816,20135,21542,22256,22471,19.05666667,25.492
