date,year,month,day,hour,forecast_need,temp,real
20190701,2019,07,01,1,15000,23.98,15351
20190701,2019,07,01,2,14500,23.44,14731
20190701,2019,07,01,3,14400,22.69,14573
20190701,2019,07,01,4,14300,21.21,14503
20190701,2019,07,01,5,14200,21.37,14413
20190701,2019,07,01,6,15600,22.48,14991
20190701,2019,07,01,7,19000,23.82,17816
20190701,2019,07,01,8,20700,25.14,20135
20190701,2019,07,01,9,21600,26.38,21542
20190701,2019,07,01,10,21900,27.23,22256
20190701,2019,07,01,11,22400,25.68,22471
20190701,2019,07,01,12,22400,23.03,22930
20190701,2019,07,01,13,22700,23.35,23079
20190701,2019,07,01,14,22700,25.72,23000
20190701,2019,07,01,15,22300,28.31,22527
20190701,2019,07,01,16,22200,28.53,22353
20190701,2019,07,01,17,22100,27.84,22068
20190701,2019,07,01,18,21800,26.27,21596
20190701,2019,07,01,19,21600,24.96,21374
20190701,2019,07,01,20,21600,22.37,21261
20190701,2019,07,01,21,21500,20.54,21222
20190701,2019,07,01,22,21400,20.07,20799
20190701,2019,07,01,23,20200,18.88,19666
20190701,2019,07,01,24,18400,18.8,18069
20190702,2019,07,02,1,16200,18.09,17065
20190702,2019,07,02,2,15600,16.77,16571
20190702,2019,07,02,3,15200,15.47,16154
20190702,2019,07,02,4,15100,14.97,16182
20190702,2019,07,02,5,14700,16.36,15732
20190702,2019,07,02,6,15700,17.96,15923
20190702,2019,07,02,7,19000,19.21,18111
20190702,2019,07,02,8,20400,20,20087
20190702,2019,07,02,9,21200,20.69,21223
20190702,2019,07,02,10,21400,21.48,21500
20190702,2019,07,02,11,21800,22.34,21651
20190702,2019,07,02,12,21900,21.94,21980
20190702,2019,07,02,13,22000,22.29,22064
20190702,2019,07,02,14,22100,22.66,21997
20190702,2019,07,02,15,21600,22.81,21536
20190702,2019,07,02,16,21400,22.62,21389
20190702,2019,07,02,17,21200,22.38,21023
20190702,2019,07,02,18,20800,21.89,20714
20190702,2019,07,02,19,20700,20.7,20435
20190702,2019,07,02,20,20800,18.49,20464
20190702,2019,07,02,21,20500,16.46,20376
20190702,2019,07,02,22,20600,15.01,20159
20190702,2019,07,02,23,19700,14.38,19279
20190702,2019,07,02,24,18100,13.27,17993
20190703,2019,07,03,1,16900,12.28,16706
20190703,2019,07,03,2,16300,11.42,15981
20190703,2019,07,03,3,15900,10.82,15665
20190703,2019,07,03,4,15800,10.37,15583
20190703,2019,07,03,5,15300,11.69,15194
20190703,2019,07,03,6,16200,13.69,15577
20190703,2019,07,03,7,19000,15.06,17814
20190703,2019,07,03,8,20500,15.92,19609
